1,ios develop,som empres lid creacion websit ecommerc merc internacional estam busc talent desarroll ampli experient desarroll aplic movil iphon andro ipads trabaj sed san borj ofrec ambient laboral excelent equip colabor los interes envi curriculum via email form inmediat acced entrev empez trabaj posicion cubr inmediat buen salari permanent dentr organizacion garantiz posicion proyect mes freelancing,requirements 2 years ios experienc objectiv c ios ios sdk os x git xml soap json xcod ipa ios apk andro html5 css3 jquery mobil jav script
6,practic desarroll negoci,soport report comercial automatiz report planificacion comercial analisis report seguimient automatizacion seguimient report horari sal,no indispens
4,ingenier de sistem arquitect,analiz disen implement arquitectur tecnic solucion softwar analiz disen implement solucion endtoend mas tecnologi defin tecnologi informacion utiliz asi requer infraestructur necesari pod atend neces client esto inclu sizing defin proced rutin funcion form part desarroll sistem defin prueb tecnic necesari proced rutin funcion cre garantiz correct funcion documentacion mism defin arquitectur disen inici desarroll product softwar defin estandar arquitecton aplic mejor practic estandar desarroll conduc elaboracion documentacion tecnic sistem carg balance aplic integracion directori activ elabor estandar desarroll apoy instalacion sistem bas dat ambient destin elabor especif tecnic codificacion aplic elabor prototip tecnic aplicacion realiz prueb tecnic integracion realiz prueb stress carg,experient arquitectur orient tecnologi jav experient arquitectur bas webservic experient integracion aplic web experient uso bas dat relacional divers plataform principal sql serv experient minim cuatr anos labor similar experient lider equip desarroll anal manej de sistem conoc softwar programacion bas experient jav liferay spring 3x spring mvc javascript ehcach hibernat 3x hab usad administr webspher 70 hab implement algun fluj proces bpm ten conoc ello sql serv 2008 conoc apach solr cms content management system visual vm jmet
4,ingenier de sistem anal funcional,profesional respons analisis funcional tecnic solucion desarroll asi coordinacion direct equip implement respons dar soport activ jef proyect respons supervis product entreg cumpl establec propuest,experient analisis sistem mediant elaboracion especificacion funcional baj metodologi uml cas uso diagram estad etc experient interaccion direct client usuari experient desarroll aplic web php net jav experient model bas dat conoc sql serv 20052008oracl plsql expert metodologi desarroll softwar rup scrum experient minim cuatr anos labor similar conoc conoc softwar programacion bas experient
4,ingenier de sistem anal de calid,elabor ejecut escenari cas prueb permitir verific correct funcion aplic web defect detect error deb ser correg are encarg,experient minim 1 ano demostr proyect similar capac trabaj equip egres curs ultim cicl ingenieri sistem computacion informat univers institut conoc ingenieri softwar web buen practic desarroll web clar entend cas uso rup excelent manej naveg web maquin virtual estandar w3c conoc component utiliz interaccion red social social medi conoc disen web html jav net programacion disposit movil conoc bas dat sql serv mysql oracl etc conoc testlink bugzill selenium
6,practic profesional consultori,contribu control seguimient gestion proyect mejor client elabor inform avanc plant altern solucion cumpl entreg,deseabl metodologi gestion proyect pmi proces negoci bpm ms offic nivel avanz de preferent conoc adonis u model proces experient experient minim ano labor practic similar deseabl funcional modul sap
6,consultor senior proyect,analiz investig informacion relacion propon oportun mejor proces negoci involucr proyect segun lineamient recib plante altern solucion problem detect analisis sustent dich altern aplic tecnic metodologi analisis mejor proces logr objet entreg proyect inform inmediat superior avanc entreg asign,deseabl hab utiliz metodologi asap implementacion proyect sap metodologi afin implantacion gestion proyect pmi bmp manej ms offic nivel avanz manej adonis ms project experient minim 3 anos consultori particip desarroll proyect implementacion sistem
6,consultor junior proyect,relev informacion situacion actual proces negoci acuerd metodologi establec gerenci analiz informacion relev proces identif oportun mejor propon solucion equip trabaj,expert manej herramient ofimat alta capac analisis comunicacion conoc adonis u model proces experient minim ano implantacion proyect metodologi afin implantacion gestion proyect pmi bmp experient proyect corpor envergadur consultor
6,practic riesg minor,conoc proces vent carter aplic conoc automatizacion optimizacion proces vent,estudi universitari 7mo 9no cicl
6,jef de asegur de calid,planific organiz dirig supervis activ relacion control asegur calid respons calid product audit proced organizacion document cualqui cambi proced empres capacitacion revisor qa coordin tod are centraliz requer qa,requisit min situacion egres sol con grad de bachill especial ingenieri de sistem certificacion istqb opcional experient minim 2 anos experient control calid disponibil horari tiemp complet
1,anal funcional oracl develop,accentur empres consultori management servici tecnologi outsourcing combin experient incompar ampli capac tod industri funcion negoci ampli investigacion respect empres mas exit mund nos encontr busqued profesional sistem experient oracl develop forms reports pl sql bas oracl 10g par desempen anal senior,3 5 anos experient desarroll aplic dich tecnologi experient direccion equip trabaj gestion proyect deseabl experient rubr segur
4,practic sistem,apoy encarg subgerent informacion equip planeamient division credit manej bas dat generacion report analisis administracion servidor apoy proyect informacion 1 generacion report analisis basic informacion carter mayor provision 2 manej bas dat nivel consult 3 apoy desarroll proyect asign subgerent pe automatiz proces nuev herramient informacion proyect mir renovacion tecnolog caps 4 apoy actualizacion manual aplic cual gerenci lid usuari 5 hac seguimient actualizacion shar point division credit 6 apoy administracion servidor equip schedul back ups organiz fil coordin sistem nuev neces,conoc manej bas dat report nivel consult algun lenguaj programacion
1,anal program web,nuestr client encuentr busqued profesional prim nivel ocup carg anal program web funcion analisis proces coordinacion jef desarroll disen bas dat coordinacion jef desarroll documentacion definicion proces rupuml desarroll solucion aplic windows web visual studi 20082005 validacion solucion coordinacion jef desarroll puest produccion solucion ambient teste primer client disen proces implementacion softwar manual usuari,experient minim tres anos anal program especializ webs deseabl certif microsoft mcpd windows develop 35 mcpd aspnet develop 35 conoc sql aspnet microsoft cnet rup visual basic deseabl conoc oracl datab patron disen benefici remuneracion acord merc oportun line carrer
